ID	Genotype	 1-Hexanal	E-beta-Ocimene	 3(Z)-Hexen-1-ol-acetate 	 Isohexanol	 1-Hexanol	 3(Z)-hexenyl-propanoate	 4(Z)-Hexenyl-butanoate	 2(E)-Hexenyl-butanoate	 n-Hexyl-butanoate	 Hexyl 2-methylbutanoate	 3(Z)-Hexenyl-butanoate	 3(Z)-hexenyl-valerate	 3(Z)-Hexenyl-isovalerate	  Linalooll	 alpha-Duprezianene	TAB	 beta-Elemene	 3(Z)-Hexenylcaproate	 4(E)-Hexenyl-hexanoate	 5-Hexenyl-hexanoate	 (E)-Hex-3-enyl(E)-2-methylbut-2-enoate	 alpha-Terpineol	 sesquiterpeneRT22.7	 sesquiterpeneRT22.8	 sesquiterpeneRT23.0	 3(Z)-Hexen-1-oltrifluoroacetate	 alpha-Farnesene	 sesquiterpeneRT23.8	 Sesquiphellandrene	 sesquiterpenoidRT24.2	Nicotine	 Benzyl-alcohol	 sesquiterpeneRT27.3
119B	119B	56491	1083589	381208	208202	165038	1169311	5356048	245730	169397	95612	6257638	5131247	294591	8378	403786	125312	3000	2752103	1009023	87661	1878939	554815	5179	47639	34723	679482	41474	4971	3000	4956	11313074	1409626	1137782
22B	22B	50762	574632	61608	61532	105408	232576	1822400	136371	108590	86047	2215038	2631658	203957	175092	469179	96758	3000	2797160	1135043	72173	2080047	1387194	5469	18132	11818	404268	9631	3000	5134	4957	16786356	910240	1438822
82A	82A	33697	265003	213132	65105	75814	272037	1733176	175543	72187	35511	1314904	1079964	75444	125036	320934	91274	3000	512905	425804	28863	942748	162448	3000	14175	8855	136840	34436	3000	11377	4982	10187906	2189533	908636
05B	05B	32605	1854082	163241	75769	77660	376396	1611148	157684	103862	46771	3436786	2279012	213388	7063	289515	137990	6989	1834818	954157	53859	1663353	590386	18383	55485	42692	502501	122948	10454	6143	4988	13353096	1185021	1024901
134A	134A	35364	421155	125681	98878	114768	233045	1479974	103986	51059	23594	1250079	1171941	66257	97885	110595	53280	3000	603054	160193	30359	342332	305290	3000	3000	3000	93776	4019	3000	3000	5003	3186872	1977917	309407
37B	37B	39998	1695483	230456	112486	87140	679023	2786721	144757	175741	96638	7276264	5929375	327828	189811	288669	270348	9994	3512437	1580474	115687	2846508	926594	3095	15848	19884	1020284	29239	12574	5684	5091	18836558	1041677	924593
10B	10B	65162	443785	99503	65165	52987	199249	931328	118874	52918	26761	1636827	1280172	100053	131154	312437	130958	6315	1024520	650271	33372	1214716	254187	5120	25810	17944	269263	32466	9574	7310	5102	24105343	1179350	1030544
102A	102A	79998	818001	402833	78985	114949	601666	2650295	155555	179475	70065	8070252	4918376	156034	5143	148465	75011	3000	1786422	421707	111092	1047504	225054	3000	8661	8748	449871	63866	3000	3000	5197	7650885	2124973	397530
66A	66A	42924	564882	320792	263286	212824	897654	5466364	259591	161425	114149	4828295	4849286	303466	14424	232571	107954	3000	2455545	1271862	75405	2219678	633717	3000	13953	10085	524645	13417	4238	4564	5201	5890883	1737507	550671
09B	09B	33696	713453	143876	84669	58181	357571	1682355	117950	58230	52306	2268991	3294234	168514	6918	226106	89023	5876	1863543	418373	56196	1504859	607159	4431	15063	12459	255490	18173	7200	3045	5251	17587771	1387692	762626
28B	28B	23654	148383	63104	12312	25756	188408	775322	81367	33916	21405	969909	986963	53338	3934	56581	11136	3000	763751	371628	28353	523871	270762	3000	3000	3000	98438	5027	3000	3000	5327	4900166	1052899	239287
13B	13B	24644	288676	110005	63529	63804	330774	2116836	157809	78778	62313	2388703	2142688	155202	10399	123116	109671	4579	1057371	669434	36915	1158644	383969	3540	20717	14240	269856	30787	7298	3022	5348	25669540	1667290	456186
25A	25A	51867	727500	236055	54458	83977	657152	2670198	263043	168367	67559	5257242	3197862	194561	5044	143025	110805	3000	1317799	700550	55930	1315239	706972	9206	19269	12844	442511	30477	3000	7228	5359	4502257	1244349	458663
113A	113A	42782	12202	53476	111142	98769	230305	2837271	360219	46327	112588	661333	2539915	240857	107336	106131	34854	3000	2953724	905000	28764	1758721	407560	8053	9251	3000	205820	3882	4838	5459	5369	16083323	2672717	511800
75B	75B	30924	259313	66222	23237	25572	155928	688022	72517	31117	17384	1161950	943552	28101	10186	60856	24679	3000	163803	77315	17701	186142	81750	3000	3000	3000	88193	10148	3000	3000	5382	8547775	1998963	204182
60A	60A	34352	692436	117482	104778	105533	537913	3281552	209356	114279	71128	3304012	3127552	178325	196671	112445	112986	8354	948457	705032	45996	1425817	932483	3066	22535	15770	269670	22188	10378	3809	5414	34104866	1591777	358045
116A	116A	40368	12759	440624	336455	270245	1166751	6476106	313034	238861	226561	5657868	10510825	777733	15279	827142	527343	67893	15911259	4786476	144203	7029536	1060103	28466	168808	166615	1236727	3000	64605	10115	5415	3380468	1412646	1788269
71B	71B	31863	168633	47267	31285	38920	151509	1145764	142027	34282	26437	915825	929531	49341	59125	73334	18916	3000	398139	152752	25974	274040	208364	3000	3000	3000	77262	4389	3000	3000	5526	3446106	2533896	239900
32B	32B	34730	1486643	111341	95362	79213	364852	2606469	162717	86082	71456	2416695	2732623	191000	5227	119011	123691	3000	1195743	783392	36840	1434781	481005	3000	11504	8295	267518	19023	5180	3853	5545	14936237	1360122	390811
93A	93A	40951	129013	48867	31390	32714	162443	1123627	104256	32017	24377	966186	1149377	63468	34775	79917	34354	3000	577660	269520	17168	454350	155168	3000	3854	3854	98956	7886	3000	3000	5588	15464511	2372848	224985
100B	100B	52634	231015	52255	48061	55407	173184	1289435	139134	44982	50807	729162	1003260	67903	64108	92202	27346	3000	543343	292453	21796	527123	242953	3000	3174	3000	83449	5184	3000	3000	5641	36805966	2436025	309988
56A	56A	30688	660220	241470	157666	134184	679818	3959087	141385	166422	104962	8332147	8307274	264509	156113	234051	148664	22031	2947114	1001290	122048	2781209	591024	8016	41740	53334	1152070	97573	21525	7570	5752	9057020	1769329	644384
130A	130A	30456	565225	170584	67030	63666	493617	2248075	185662	100437	68917	3326018	3564343	313385	11901	172098	84945	3000	2367313	1127187	43801	2123029	768766	3222	17528	9934	375544	19842	3000	3731	5815	17091591	1549128	655016
62A	62A	52685	90488	110972	15868	31958	176490	812909	80848	39587	24393	1913986	1766825	36659	9691	56131	11498	3000	304449	91302	28222	310989	108486	3000	3000	3000	123601	5018	3000	3000	5860	2863346	2128693	174946
108A	108A	37042	2038423	373098	125402	147501	861729	3513740	227626	137268	68355	6690783	5167666	243827	8143	300795	97585	3000	3202804	954624	106497	1764644	564322	3632	10777	6248	909067	54208	3000	3000	5873	5866670	2024976	630002
30B	30B	26638	437577	263898	78314	78756	513771	2227608	89105	96411	55948	4987612	4520176	149231	57992	136776	54450	3000	2249636	587978	99489	1163527	282004	3000	5431	3000	539855	13562	3000	3000	5975	9557099	1449466	414033
55A	55A	90284	935436	142769	121975	72821	440161	1953569	104012	103328	70862	5157950	4891590	211658	3733	275500	90143	20853	2646099	1372214	105281	3172591	615511	7095	26834	22921	1040940	100463	32313	4192	5993	40192113	1321021	1047330
