Plant	Path	 1-Hexanal	Limonene*	E-beta.-Ocimene	 3(Z)-Hexen-1-ol-acetate 	 Isohexanol	 1-Hexanol	 3(Z)-hexenyl propanoate	 4(Z)-Hexenyl butanoate/ 3(Z)-Hexenyl-1-ol*	 2(E)-Hexenyl butanoate	 n-Hexyl butanoate	 Hexyl 2-methylbutanoate	 3(Z)-hexenyl ester*	 3(Z)-Hexenyl butanoate	 3(Z)-hexenyl valerate*	 3(Z)-Hexenyl isovalerate	 sesquiterpene*	  Linalooll	 Beta-caryophyllene*	 alpha-Duprezianene*	(E)-alpha-Bergamotene*	 beta.-Elemene	 3(Z)-Hexenyl caproate*	 4(E)-Hexenyl hexanoate	 5-Hexenyl hexanoate	 (E)-Hex-3-enyl (E)-2-methylbut-2-enoate*	(E)-beta-Famesene 	 alpha-Terpineol	 sesquiterpene RT 22.7 mixed with neighbor peak	 sesquiterpene RT 22.8	 sesquiterpene RT 23.0	 3(Z)-Hexen-1-ol trifluoroacetate*	 alpha -Farnesene mix with next peak	 sesquiterpene RT 23.8	 Sesquiphellandrene	 sesquiterpenoid RT 24.2	Benzyl acetone*	Nicotine*	 Benzyl alcohol*	 sesquiterpene RT27.3
269_148B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\269_148B_flower.qgd	26265	78877	522125	47863	471871	113252	7493	183750	89968	4588	11627	14369		108091	16210		18781	28386	36943	63021	6174	26969	1106	13238	13678		12238	1211	7756	8115	8861	7958	3649	4831		986121	5665184	237052	41486
270_Ut5B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\270_Ut5B_flower.qgd	21217	80290	624	41079	319269	51716	3542	141095	55527	4855	7802	13657	14665	127471	17503	8980	12276	42163	54970	416046	6346	26793	2502	17066	22560	4036	14569	3368	20033	22319	17507		4627	14892	3932	348878	19248585	141912	123647
271_Az5B_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\271_Az5B_flower.qgd	19555	76705	398415	23707	331291	67107	33139	301630	35430	1954	3637	18311	17573	143661	23856	3338	26584	48135	59381	121072	9587	42619	4623	15135	49155		14161	3968	22181	22703	1316	12972	2715	4535		60872	893180	80406	53035
B-3.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\B-3.qgd	65297	40868	251	23798	1594911	299345	9164	781312	56620	6180	1986	16572	15114	57123	16797		11495	7263	8862	81334	2631	30316	2612	9444	22557		13484	333					1690	2966	816	2223	3181377	120761	35374
B-4.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\B-4.qgd	1681	75292	3003	24129	1597972	346776	17396	17396	39512	4306	1921	3596	33385	82085	20965	2027	32044	15107	19023	18938		30339	9461	14857	37177		23811				6281		2369			3349	18952375	166246	39128
B-5.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\B-5.qgd	38447	66930		30140	1548437	264831	7529	810288	52339	3745	1996	13154	13154	75319	20772		15073	21266	26463	82612	1703	40181	1994	10980	50689		14406		1244				2832	6423		4373	32067123	137779	73806
B-6.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\B-6.qgd	19575		682		21414	4027		16777									270						210	14158					400								114932	5323	
B-7.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\B-7.qgd	12706	93322	955	5193	51022	31480		43646	25265	2251							8164			5864				51788			6858		393			386	1288			4085	1577617	230753	
B1_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\B1_flower.qgd	41987	71657	1331	34734	1268614	209251	10587	489020	49398	1089	2624	20742	21170	65088	13624		16296	23289	32066	37888	1069	26778	2160	13363	21002		24322	1013		2751				6025		2111	9655751	132900	59267
B2_flower.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\B2_flower.qgd	75758	88078	14675	31667	1585578	471076	29976	1319897	61410		1204	40554	39691	103432	19210		27147	10652	14292	12438	983	34674		7617	50103		24361	167	1419					4363		3718	3227419	203372	50057
Empty_1.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_1.qgd	12600				1498			2368								479	214												612			699	1062						
Empty_10.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_10.qgd	4313	1296	551		329						353				232	1369	139				122			11903					512			373	185						
Empty_11.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_11.qgd	7455	374	47		1767					603					52		81				296			5773	1528				261			256					10907		
Empty_12.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_12.qgd		533	473		1514												18				208		325					383	158		1154		398						
Empty_13.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_13.qgd	5864	362	834		334						186						356							9059					233		460		491						
Empty_14.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_14.qgd			375		1332							888			349		57						263	13408				138	431				216			386	10685		
Empty_15.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_15.qgd	5762		321		1149			268									384				191				3477						594	135	740						
Empty_16.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_16.qgd		671	366		937												270						526	497									731						
Empty_17.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_17.qgd	3727		585		1071										476		305											116	451				449						
Empty_18.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_18.qgd	308	316	609		279					334		1133			319	448	170				189								265							331			
Empty_19.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_19.qgd			424		834					389		1500			975	805	301							10512				183	329								7757		
Empty_2.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_2.qgd	9213		391		1593					533					783		176												102			337	510			4774			
Empty_20.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_20.qgd	5372		264		459					424		42			277		406						128					260				488	552				5521		
Empty_3.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_3.qgd	7275		220		1252					516					924		448	565						5582									92				9797		
Empty_4.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_4.qgd			402		1499			761		346	406						530	288			46			11049					365								18732		
Empty_5.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_5.qgd	6084	191	922		1225			306			379						215	224											831		422		424						
Empty_6.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_6.qgd			260		674										127		426				117		686						306			282				322			
Empty_7.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_7.qgd	6704	277	393		1356			1183		295		524			579		280				257								219				482						
Empty_8.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_8.qgd	5837		204		1164					1277					655	994	245				266								283		1163						7494		
Empty_9.txt	D:\user_data\data_gctd2\kepu6533\170214_AI_RIL_Flower-VOC\Empty_9.qgd		694	449		1019			1800			650				650	380	491												112		359	345					5990		
